0.254,0.383,2,-8.036,1,0.0282,0.614, 0.0237,0.172,0.178,188.2,318240,3,Sad
0.346,0.691,6,-8.08,1,0.0334,0.109, 0.00104,0.106,0.433,111.348,235187,5,Sad
0.484,0.0874,0,-17.796,1,0.0394,0.894, 0.154,0.11,0.219,94.163,256120,4,Sad
0.209,0.418,3,-8.74,1,0.0338,0.163, 0.00195,0.113,0.123,138.265,295533,4,Sad
0.705,0.324,9,-11.217,1,0.0246,0.842, 0.00386,0.201,0.494,79.051,276867,4,Sad
0.387,0.182,1,-10.815,1,0.0311,0.86, 0.00255,0.0962,0.0929,121.903,162467,4,Sad
0.781,0.445,2,-6.061,1,0.0295,0.474, 0,0.184,0.591,78.998,281560,4,Sad
0.574,0.193,2,-12.703,1,0.0484,0.478, 0.0909,0.11,0.184,87.678,180067,4,Sad
0.616,0.587,5,-4.675,1,0.0262,0.328, 0.00000192,0.118,0.421,118.524,219563,4,Sad
0.613,0.138,8,-14.083,1,0.0394,0.877, 0.000954,0.0739,0.136,125.316,250912,4,Sad
0.605,0.226,2,-10.617,0,0.0347,0.715, 0.0001,0.35,0.142,122.713,243213,4,Sad
0.765,0.473,10,-5.829,1,0.0514,0.287, 0,0.391,0.34,119.992,237300,4,Sad
0.585,0.174,0,-14.266,1,0.0328,0.752, 0,0.0383,0.263,115.393,254093,4,Sad
0.66,0.479,9,-7.364,1,0.247,0.53, 0,0.102,0.471,80.027,269093,4,Sad
0.568,0.436,7,-6.676,1,0.0277,0.592, 0,0.105,0.225,149.989,207213,4,Sad
0.591,0.415,6,-6.936,1,0.0437,0.424, 0.000299,0.111,0.197,90.483,201072,4,Sad
0.441,0.212,4,-13.657,1,0.0287,0.556, 0.00000552,0.0578,0.124,65.311,202027,4,Sad
0.506,0.597,8,-7.336,1,0.0371,0.526, 0.000278,0.065,0.163,96.603,227360,4,Sad
0.471,0.431,5,-6.129,0,0.0342,0.329, 0,0.0854,0.289,157.98,295502,4,Sad
0.518,0.354,11,-9.141,1,0.029,0.764, 0.00055,0.114,0.315,137.749,219840,4,Sad
0.399,0.278,2,-11.147,1,0.0607,0.934, 0,0.785,0.355,172.576,268927,3,Sad
0.515,0.43,7,-9.935,1,0.0369,0.0102, 0.000141,0.129,0.104,91.841,238640,4,Sad
0.317,0.571,9,-7.669,1,0.0283,0.158, 0.00000295,0.0848,0.234,163.036,240120,3,Sad
0.414,0.161,7,-22.32,0,0.0318,0.883, 0.000223,0.117,0.423,159.375,199493,4,Sad
0.51,0.255,0,-15.903,1,0.0291,0.883, 0.55,0.0696,0.188,115.115,250280,3,Sad
0.489,0.357,6,-9.745,1,0.0259,0.641, 0.333,0.0838,0.0388,92.009,254427,4,Sad
0.363,0.355,7,-9.877,1,0.0457,0.371, 0.0000743,0.0814,0.19,180.364,266533,4,Sad
0.766,0.516,2,-7.809,0,0.0474,0.0606, 0.0000345,0.102,0.296,92.059,202893,4,Sad
0.52,0.652,5,-6.655,1,0.0274,0.34, 0.0000549,0.256,0.722,80.609,258787,4,Sad
0.603,0.438,7,-9.473,1,0.029,0.565, 0.00000209,0.111,0.302,129.902,327333,4,Sad
0.869,0.197,1,-15.668,1,0.0415,0.144, 0.773,0.0861,0.0598,103.985,269067,4,Sad
0.443,0.956,2,-6.198,1,0.0511,0.0000524, 0.825,0.135,0.909,146.754,206867,4,Sad
0.654,0.307,10,-9.25,1,0.0298,0.514, 0.00000158,0.0912,0.192,93.871,206027,3,Sad
0.407,0.424,0,-10.583,1,0.0318,0.0847, 0,0.234,0.404,113.311,349187,3,Sad
0.429,0.661,11,-7.227,1,0.0281,0.00239, 0.00013,0.234,0.285,173.365,266773,4,Sad
0.337,0.0535,9,-20.857,1,0.0419,0.918, 0.00366,0.12,0.175,129.674,163107,3,Sad
0.345,0.0581,3,-17.217,1,0.0374,0.976, 0.000366,0.103,0.304,174.117,189507,4,Sad
0.431,0.59,4,-6.362,1,0.0284,0.163, 0.0000111,0.0981,0.257,150.193,265333,4,Sad
0.438,0.606,7,-6.549,1,0.0305,0.3, 0.00000449,0.0754,0.266,133.822,240760,4,Sad
0.189,0.427,0,-9.08,1,0.0449,0.113, 0.0923,0.058,0.158,187.212,306600,3,Sad
0.319,0.309,9,-11.944,0,0.0257,0.822, 0.00000226,0.0893,0.339,143.075,238187,3,Sad
0.54,0.192,1,-10.072,1,0.0301,0.916, 0,0.0979,0.619,100.694,265000,4,Sad
0.605,0.704,5,-6.564,1,0.0476,0.241, 0,0.137,0.4,80.925,220413,4,Sad
0.512,0.428,4,-7.131,1,0.0293,0.502, 0,0.0852,0.13,95.336,241413,3,Sad
0.561,0.337,8,-9.272,1,0.0284,0.644, 0.0000879,0.67,0.273,109.373,267253,4,Sad
0.324,0.208,8,-8.848,1,0.0288,0.698, 0.0000289,0.11,0.193,166.366,245946,3,Sad
0.487,0.279,6,-11.586,0,0.0265,0.647, 0.00185,0.11,0.162,139.362,237027,4,Sad
0.346,0.139,0,-15.326,1,0.0321,0.913, 0.0000773,0.0934,0.116,136.168,217947,4,Sad
0.414,0.633,0,-5.295,1,0.0281,0.0795, 0.000128,0.458,0.347,83.819,234880,4,Sad
0.432,0.261,4,-12.591,1,0.0512,0.953, 0.00342,0.0903,0.273,89.567,258653,4,Sad
0.529,0.149,5,-15.795,1,0.0257,0.951, 0.0759,0.153,0.178,86.921,279413,4,Sad
0.469,0.335,10,-7.494,0,0.0291,0.794, 0.0000276,0.0931,0.158,75.108,256853,3,Sad
0.459,0.187,7,-9.326,1,0.0361,0.922, 0,0.0939,0.0625,96.983,266493,4,Sad
0.593,0.264,2,-14.535,1,0.0271,0.0138, 0.875,0.0816,0.207,68.492,212840,4,Sad
0.316,0.769,0,-5.283,0,0.0422,0.0142, 0,0.0928,0.127,122.507,321147,4,Sad
0.53,0.829,7,-7.014,1,0.0361,0.0537, 0.88,0.106,0.949,134.99,401440,4,Sad
0.268,0.406,5,-10.232,1,0.0276,0.0495, 0.0066,0.113,0.104,76.432,228533,4,Sad
0.608,0.393,7,-10.528,1,0.0314,0.85, 0.00000401,0.0985,0.217,88.906,207560,4,Sad
0.708,0.19,5,-16.578,1,0.0326,0.194, 0.226,0.0916,0.47,93.669,252493,4,Sad
0.546,0.485,2,-9.424,1,0.027,0.000128, 0.318,0.0939,0.106,109.913,295200,4,Sad
0.471,0.56,4,-8.533,1,0.0285,0.0102, 0,0.128,0.0723,83.025,232867,4,Sad
0.25,0.28,6,-10.334,1,0.0325,0.859, 0.0102,0.106,0.178,94.928,243533,4,Sad
0.273,0.539,0,-10.163,1,0.0288,0.00121, 0.000309,0.142,0.326,154.233,250440,4,Sad
0.344,0.687,3,-5.28,1,0.0311,0.0287, 0.00068,0.178,0.193,134.503,279373,4,Sad
0.554,0.321,9,-8.251,1,0.028,0.893, 0,0.0996,0.288,135.047,285240,4,Sad
0.639,0.456,6,-8.612,1,0.0391,0.141, 0,0.133,0.372,81.988,213013,4,Sad
0.556,0.595,9,-4.51,1,0.0275,0.214, 0.0000833,0.125,0.144,104.001,266347,4,Sad
0.691,0.375,0,-10.662,1,0.0309,0.407, 0.000131,0.0541,0.573,112.611,256413,4,Sad
0.341,0.177,0,-9.385,1,0.0339,0.898, 0.00006,0.103,0.158,102.334,255440,3,Sad
0.561,0.436,1,-8.375,1,0.0285,0.554, 0,0.217,0.308,96.032,273800,4,Sad
0.393,0.633,9,-4.769,1,0.0275,0.0339, 0,0.104,0.382,174.022,252440,4,Sad
0.514,0.292,9,-11.768,0,0.0291,0.827, 0.00223,0.0926,0.157,90.459,218587,4,Sad
0.425,0.651,10,-6.131,1,0.0287,0.105, 0,0.138,0.366,159.363,394173,4,Sad
0.65,0.465,5,-8.212,1,0.0346,0.428, 0.00000776,0.0964,0.234,176.046,261147,4,Sad
0.327,0.519,5,-6.985,1,0.0287,0.119, 0,0.184,0.146,164.24,394533,3,Sad
0.513,0.581,0,-5.805,1,0.0234,0.308, 0.000132,0.153,0.143,90.919,293173,4,Sad
0.625,0.426,2,-8.392,0,0.0271,0.413, 0,0.116,0.112,110.018,270333,4,Sad
0.557,0.527,8,-6.216,0,0.034,0.632, 0.000194,0.149,0.595,171.836,218907,4,Sad
0.378,0.232,7,-12.537,0,0.0313,0.796, 0,0.192,0.105,127.24,228627,4,Sad
0.653,0.429,11,-10.475,1,0.0296,0.0848, 0.0038,0.0692,0.625,146.071,274933,4,Sad
0.311,0.216,4,-12.555,1,0.0355,0.841, 0.00000531,0.0862,0.104,134.051,270760,4,Sad
0.677,0.592,1,-6.887,1,0.0452,0.454, 0,0.107,0.336,80.316,183670,4,Sad
0.519,0.458,6,-10.695,0,0.0333,0.672, 0,0.0841,0.278,133.801,244040,4,Sad
0.61,0.619,10,-7.341,1,0.0232,0.0884, 0.0084,0.0672,0.564,92.32,294507,4,Sad
0.559,0.51,5,-8.294,0,0.0247,0.288, 0.0000531,0.242,0.327,129.881,275267,4,Sad
0.485,0.539,4,-9.271,1,0.0274,0.0827, 0.000274,0.0784,0.397,108.355,265000,4,Sad
0.412,0.573,5,-3.906,0,0.0281,0.634, 0.00000222,0.106,0.0995,76.233,238560,4,Sad
0.655,0.255,3,-15.543,1,0.0429,0.85, 0.122,0.136,0.446,82.569,123173,4,Sad
0.476,0.764,9,-6.454,1,0.032,0.00325, 0.112,0.138,0.546,171.903,448307,4,Sad
0.537,0.11,2,-18.652,1,0.0328,0.939, 0.468,0.101,0.193,79.44,244440,4,Sad
0.615,0.836,7,-4.648,1,0.0419,0.0788, 0,0.62,0.877,123.005,243960,4,Sad
0.643,0.871,1,-2.734,0,0.118,0.491, 0,0.29,0.452,121.569,185187,4,Sad
0.63,0.223,6,-11.21,1,0.0265,0.686, 0,0.102,0.369,91.618,238733,4,Sad
0.59,0.26,4,-14.065,0,0.0484,0.85, 0.00000459,0.117,0.112,77.118,238520,4,Sad
0.371,0.24,7,-11.289,0,0.0319,0.856, 0.00000102,0.0577,0.286,75.405,218893,4,Sad
0.44,0.498,0,-9.788,1,0.0264,0.229, 0,0.173,0.157,77.368,305067,4,Sad
0.526,0.358,4,-7.239,0,0.0243,0.525, 0,0.0942,0.4,78.988,238027,3,Sad
0.562,0.493,10,-6.159,1,0.028,0.33, 0,0.0928,0.251,79.062,214320,4,Sad
0.514,0.539,5,-6.821,1,0.038,0.333, 0.00000485,0.0912,0.314,170.105,240040,4,Sad
0.379,0.29,4,-8.485,1,0.051,0.952, 0.00106,0.118,0.169,166.467,201080,4,Sad
0.469,0.969,0,-2.219,1,0.0589,0.009, 0.0000111,0.346,0.476,164.042,183507,4,Angry
0.554,0.949,2,-4.928,1,0.0787,0.000318, 0.0000998,0.2,0.233,129.984,374453,4,Angry
0.511,0.937,2,-5.116,0,0.115,0.0146, 0,0.304,0.484,163.141,265053,4,Angry
